------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [137/2000]	Loss: 4.7968	Infidelity: 0.2077	Energy difference: 0.0152
Epoch [138/2000]	Loss: 4.7968	Infidelity: 0.1779	Energy difference: 0.0183
Epoch [139/2000]	Loss: 4.7967	Infidelity: 0.1994	Energy difference: 0.0183
Epoch [140/2000]	Loss: 4.7966	Infidelity: 0.1965	Energy difference: 0.0217
Epoch [141/2000]	Loss: 4.7965	Infidelity: 0.2144	Energy difference: 0.0179
Epoch [142/2000]	Loss: 4.7964	Infidelity: 0.2297	Energy difference: 0.0196
Epoch [143/2000]	Loss: 4.7964	Infidelity: 0.2027	Energy difference: 0.0209
Epoch [144/2000]	Loss: 4.7963	Infidelity: 0.2219	Energy difference: 0.0215
Epoch [145/2000]	Loss: 4.7962	Infidelity: 0.1963	Energy difference: 0.0222
Epoch [146/2000]	Loss: 4.7961	Infidelity: 0.1909	Energy difference: 0.0189
Epoch [147/2000]	Loss: 4.7960	Infidelity: 0.1937	Energy difference: 0.0176
Epoch [148/2000]	Loss: 4.7960	Infidelity: 0.2066	Energy difference: 0.0176
Epoch [149/2000]	Loss: 4.7959	Infidelity: 0.1874	Energy difference: 0.0210
Epoch [150/2000]	Loss: 4.7958	Infidelity: 0.2112	Energy difference: 0.0194
Epoch [151/2000]	Loss: 4.7957	Infidelity: 0.1897	Energy difference: 0.0178
Epoch [152/2000]	Loss: 4.7956	Infidelity: 0.1818	Energy difference: 0.0171
Epoch [153/2000]	Loss: 4.7956	Infidelity: 0.2131	Energy difference: 0.0186
Epoch [154/2000]	Loss: 4.7955	Infidelity: 0.1918	Energy difference: 0.0162
Epoch [155/2000]	Loss: 4.7954	Infidelity: 0.1925	Energy difference: 0.0186
Epoch [156/2000]	Loss: 4.7953	Infidelity: 0.2114	Energy difference: 0.0236
Epoch [157/2000]	Loss: 4.7952	Infidelity: 0.1979	Energy difference: 0.0190
Epoch [158/2000]	Loss: 4.7952	Infidelity: 0.1857	Energy difference: 0.0216
Epoch [159/2000]	Loss: 4.7951	Infidelity: 0.1876	Energy difference: 0.0178
Epoch [160/2000]	Loss: 4.7950	Infidelity: 0.2022	Energy difference: 0.0196
Epoch [161/2000]	Loss: 4.7949	Infidelity: 0.2377	Energy difference: 0.0200
Epoch [162/2000]	Loss: 4.7948	Infidelity: 0.2038	Energy difference: 0.0189
